Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	0.085257	1.705137	0.014307	0.000075	0.336729
specbzip_1	0.083845	1.676896	0.011312	0.000075	0.436271
specbzip_2	0.082193	1.643859	0.011311	0.000075	0.382646
specbzip_3	0.080897	1.617940	0.011308	0.000075	0.343854
specbzip_4	0.080694	1.613888	0.010809	0.000075	0.361618
specbzip_5	0.080489	1.609786	0.010339	0.000075	0.380170
specmcf_0	0.062781	1.255620	0.002063	0.019033	0.072911
specmcf_1	0.057469	1.149383	0.002063	0.000019	0.787142
specmcf_2	0.057334	1.146685	0.002063	0.000019	0.730492
specmcf_3	0.057311	1.146217	0.002063	0.000019	0.725122
specmcf_4	0.057311	1.146217	0.002063	0.000019	0.725175
specmcf_5	0.057311	1.146217	0.002063	0.000019	0.725175
spechmmer_0	0.070735	1.414708	0.008463	0.000171	0.023524
spechmmer_1	0.070205	1.404100	0.006198	0.000170	0.031973
spechmmer_2	0.069205	1.384100	0.001770	0.000170	0.101457
spechmmer_3	0.069126	1.382526	0.001540	0.000170	0.120186
spechmmer_4	0.069071	1.381422	0.001336	0.000170	0.139674
spechmmer_5	0.069435	1.388694	0.002441	0.000189	0.146189
specsjeng_0	0.513823	10.276466	0.121831	0.000020	0.999978
specsjeng_1	0.513834	10.276675	0.121831	0.000020	0.999981
specsjeng_2	0.513495	10.269899	0.121831	0.000020	0.999981
specsjeng_3	0.513471	10.269425	0.121831	0.000020	0.999980
specsjeng_4	0.340099	6.801973	0.060918	0.000014	0.999956
speclibm_0	0.174763	3.495270	0.060972	0.000095	0.999940
speclibm_1	0.174763	3.495270	0.060972	0.000095	0.999940
speclibm_2	0.174932	3.498633	0.060972	0.000095	0.999940
speclibm_3	0.174932	3.498633	0.060972	0.000095	0.999940
speclibm_4	0.128850	2.577003	0.030487	0.000106	0.999819
